Name;Symbol
AKASTOR;AKAST
AKER BP;AKRBP
AKER CARBON CAPTUR;ACC
AKER SOLUTIONS;AKSO
ARCHER;ARCH
AWILCO DRILLING;AWDR
BORR DRILLING;BORR
BW ENERGY LIMITED;BWE
BW IDEOL;BWIDL
BW OFFSHORE LTD;BWO
CARBON TRANSITION;CARBN
DEEP VALUE DRILLER;DVD
DNO;DNO
DOF;DOF
DOLPHIN DRILLING;DDRIL
EIDESVIK OFFSHORE;EIOF
ELECTROMAGNET GEO;EMGS
ENERGEIA;ENERG
EQUINOR;EQNR
EVERFUEL;EFUEL
GOLDEN ENERGY OFF;GEOS
HAVILA SHIPPING;HAVI
HORISONT ENERGI;HRGI
HUNTER GROUP;HUNT
HYDROGENPRO;HYPRO
HYNION;HYN
HYNION WR;HYNS
HYON;HYON
INTEGRATED WIND SO;IWS
INTEROIL EXPL PROD;IOX
KYOTO GROUP;KYOTO
MAGNORA;MGN
NEL;NEL
NORAM DRILLING;NORAM
NORTH ENERGY;NORTH
NORTHERN DRILLING;NODL
NORTHERN OCEAN LTD;NOL
NORWEGIAN ENERGY;NOR
OCEAN SUN;OSUN
OCEANTEAM;OTS
ODFJELL DRILLING;ODL
ODFJELL TECHNOLOGY;OTL
OKEA;OKEA
PANORO ENERGY;PEN
PETROLIA;PSE
PETRONOR E&P;PNOR
PGS;PGS
PROSAFE;PRS
QUESTERRE ENERGY;QEC
REACH SUBSEA;REACH
S.D. STANDARD ETC;SDSD
SCANA;SCANA
SCATEC;SCATC
SEABIRD EXPLORAT;SBX
SEADRILL;SDRL
SEAWAY 7;SEAW7
SHELF DRILLING;SHLF
SHELF DRILLING NO;SDNS
SIEM OFFSHORE;SIOFF
SOLSTAD OFFSHORE;SOFF
SUBSEA 7;SUBC
TECO 2030;TECO
TGS;TGS
VÅR ENERGI;VAR
ZENITH ENERGY;ZENA
