Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover
"European Equities"
"08 Feb 2023"
"All datapoints provided as of end of last active trading day."
"AKER BIOMARINE";NO0010886625;AKBM;"Oslo Børs";NOK;36.05;36.60;36.05;36.50;"08/02/2023 16:25";CET;117239;4249854.85
"ANDFJORD SALMON";NO0010829765;ANDF;"Euronext Growth Oslo";NOK;37.50;37.70;37.50;37.70;"08/02/2023 16:02";CET;12026;452091.20
"AQUA BIO TECHNO";NO0010307135;ABT;"Euronext Expand Oslo";NOK;7.00;7.00;6.74;6.74;"08/02/2023 16:19";CET;58449;400012.25
"ARCTIC BIOSCIENCE";NO0010859580;ABS;"Euronext Growth Oslo";NOK;11.00;11.05;11.00;11.05;"08/02/2023 16:08";CET;3512;38669.00
"ARCTIC FISH HOLDIN";NO0010917719;AFISH;"Euronext Growth Oslo";NOK;94.00;95.00;93.00;93.60;"08/02/2023 16:25";CET;3600;340489.00
"ATLANTIC SAPPHIRE";NO0010768500;ASA;"Oslo Børs";NOK;8.95;9.495;8.85;9.40;"08/02/2023 16:28";CET;320079;2934127.10
"AUSTEVOLL SEAFOOD";NO0010073489;AUSS;"Oslo Børs";NOK;96.00;98.30;96.00;96.90;"08/02/2023 16:25";CET;164977;16023155.95
BAKKAFROST;FO0000000179;BAKKA;"Oslo Børs";NOK;619.00;629.50;615.50;622.00;"08/02/2023 16:25";CET;48997;30529262.00
"BARRAMUNDI GROUP";SGXZ33675836;BARRA;"Euronext Growth Oslo";NOK;5.00;5.00;5.00;5.00;"07/02/2023 10:38";CET;1;5.00
"BIOFISH HOLDING";NO0010955198;BFISH;"Euronext Growth Oslo";NOK;1.42;1.57;1.41;1.455;"08/02/2023 15:41";CET;325654;481300.715
"CLEAN SEAS SEAFOOD";AU000000CSS3;CSS;"Euronext Growth Oslo";NOK;3.70;4.00;3.70;4.00;"06/02/2023 12:44";CET;27226;108433.85
"GIGANTE SALMON";NO0011013765;GIGA;"Euronext Growth Oslo";NOK;8.14;8.14;8.00;8.14;"08/02/2023 15:47";CET;3757;30548.14
"GRIEG SEAFOOD";NO0010365521;GSF;"Oslo Børs";NOK;85.20;86.80;84.60;84.80;"08/02/2023 16:25";CET;360921;30882658.85
"HOFSETH BIOCARE";NO0010598683;HBC;"Oslo Børs";NOK;2.70;2.82;2.66;2.71;"08/02/2023 16:27";CET;119041;325243.12
"ICE FISH FARM";NO0010884794;IFISH;"Euronext Growth Oslo";NOK;26.10;26.50;25.00;25.00;"08/02/2023 16:25";CET;8719;224133.50
"ICELANDIC SALMON";NO0010724701;ISLAX;"Euronext Growth Oslo";NOK;150.00;150.00;150.00;150.00;"08/02/2023 16:25";CET;1000;150000.00
"LERØY SEAFOOD GP";NO0003096208;LSG;"Oslo Børs";NOK;57.50;58.65;57.25;57.70;"08/02/2023 16:25";CET;497891;28814251.05
MOWI;NO0003054108;MOWI;"Oslo Børs";NOK;180.80;184.95;180.55;182.20;"08/02/2023 16:27";CET;719239;131427715.65
MÅSØVAL;NO0010974983;MAS;"Euronext Growth Oslo";NOK;31.70;33.00;31.70;32.80;"08/02/2023 16:25";CET;25676;839413.70
NORCOD;NO0010892912;NCOD;"Euronext Growth Oslo";NOK;57.20;58.40;56.00;57.60;"08/02/2023 15:06";CET;11133;636772.60
"NORDIC AQUA PART";DK0061414638;NOAP;"Euronext Growth Oslo";NOK;65.00;65.00;63.40;63.80;"08/02/2023 16:17";CET;62843;3998273.60
"NORDIC HALIBUT";NO0003058109;NOHAL;"Euronext Growth Oslo";NOK;22.80;22.80;22.80;22.80;"08/02/2023 15:25";CET;340;7752.00
ORKLA;NO0003733800;ORK;"Oslo Børs";NOK;74.64;75.16;74.20;74.94;"08/02/2023 16:25";CET;979081;73314115.78
"PROXIMAR SEAFOOD";NO0010893902;PROXI;"Euronext Growth Oslo";NOK;4.98;4.98;4.76;4.76;"08/02/2023 16:10";CET;25475;123303.235
SALMAR;NO0010310956;SALM;"Oslo Børs";NOK;441.20;452.20;440.60;445.40;"08/02/2023 16:28";CET;347291;155310872.40
"SALMON EVOLUTION";NO0010892094;SALME;"Oslo Børs";NOK;8.30;8.39;8.15;8.18;"08/02/2023 16:25";CET;746661;6185109.89
"SALMONES CAMANCHAC";NO0012451915;SACAM;"Oslo Børs";NOK;40.75;43.50;40.60;43.50;"08/02/2023 16:25";CET;30376;1298115.785
"STATT TORSK";NO0010775844;STATT;"Euronext Growth Oslo";NOK;1.52;1.52;1.45;1.47;"08/02/2023 15:56";CET;310244;457470.12
"THE KINGFISH COMP";NL00150001S5;KING;"Euronext Growth Oslo";NOK;12.00;12.00;12.00;12.00;"08/02/2023 16:25";CET;150;1800.00
