Name;Symbol
NORWEGIAN AIR SHUT;NAS
NORWEGIAN BLOCK EX;NBX
NORWEGIAN ENERGY;NOR
NRC GROUP;NRC
NYKODE THERAPEUTIC;NYKD
OBSERVE MEDICAL;OBSRV
OCEAN GEOLOOP;OCEAN
OCEAN SUN;OSUN
OCEANTEAM;OTS
ODFJELL DRILLING;ODL
ODFJELL SER. A;ODF
ODFJELL SER. B;ODFB
ODFJELL TECHNOLOGY;OTL
OKEA;OKEA
OKEANIS ECO TANKER;OET
OLAV THON EIENDOMS;OLT
ORKLA;ORK
OTELLO CORPORATION;OTEC
OTOVO;OTOVO
PANORO ENERGY;PEN
PARETO BANK;PARB
PATIENTSKY GROUP;PSKY
PCI BIOTECH HOLD;PCIB
PETROLIA;PSE
PETRONOR E&P;PNOR
PEXIP HOLDING;PEXIP
PGS;PGS
PHILLY SHIPYARD;PHLY
PHOTOCURE;PHO
PIONEER PROPERTY;PPG
POLARIS MEDIA;POL
POLIGHT;PLT
PROSAFE;PRS
PROTECTOR FORSIKRG;PROT
PROXIMAR SEAFOOD;PROXI
PRYME;PRYME
PYRUM INNOVATIONS;PYRUM
Q-FREE;QFR
QUANTAFUEL;QFUEL
QUESTBACK GROUP;QUEST
QUESTERRE ENERGY;QEC
RANA GRUBER;RANA
REACH SUBSEA;REACH
REC SILICON;RECSI
RECREATE;RCR
RIVER TECH;RIVER
ROMERIKE SPAREBK;ROMER
ROMREAL;ROM
ROMSDAL SPAREBANK;ROMSB
S.D. STANDARD ETC;SDSD
SAGA PURE;SAGA
SALMAR;SALM
SALMON EVOLUTION;SALME
SALMONES CAMANCHAC;SACAM
SANDNES SPAREBANK;SADG
SAS AB;SASNO
SATS;SATS
SCANA;SCANA
SCATEC;SCATC
SCHIBSTED SER. A;SCHA
SCHIBSTED SER. B;SCHB
SEABIRD EXPLORAT;SBX
SEADRILL;SDRL
SEAWAY 7;SEAW7
SELF STORAGE GROUP;SSG
SELVAAG BOLIG;SBO
SHELF DRILLING;SHLF
SHELF DRILLING NO;SDNS
SIEM OFFSHORE;SIOFF
SIKRI GROUP;SIKRI
SKANDIA GREENPOWER;SKAND
SKUE SPAREBANK;SKUE
SMARTCRAFT;SMCRT
SMARTOPTICS GROUP;SMOP
SOFTOX SOLUTIONS;SOFTX
SOGN SPAREBANK;SOGN
SOLSTAD OFFSHORE;SOFF
SPARBNK 68 GR NORD;SB68
SPAREBANK 1 SMN;MING
SPAREBANK 1 SR-BK;SRBNK
SPAREBANK 1 SØRØ;SOON
SPAREBANKEN MØRE;MORG
SPAREBANKEN SØR;SOR
SPAREBANKEN VEST;SVEG
SPAREBANKEN ØST;SPOG
SPBK 1 NORDMØRE;SNOR
SPBK 1 ØSTLANDET;SPOL
SPBK1 HELGELAND;HELG
SPBK1 NORD-NORGE;NONG
SPBK1 RINGERIKE;RING
SPBK1 ØSTFOLD AKE;SOAG
STANDARD SUPPLY;STSU
STATT TORSK;STATT
STOLT-NIELSEN;SNI
STOREBRAND;STB
STRONGPOINT;STRO
SUBSEA 7;SUBC
SUNNDAL SPAREBANK;SUNSB
TARGOVAX;TRVX
TECHSTEP;TECH
TECO 2030;TECO
TEKNA HOLDING;TEKNA
TELENOR;TEL
TGS;TGS
THE KINGFISH COMP;KING
TIETOEVRY;TIETO
TOMRA SYSTEMS;TOM
TOTENS SPAREBANK;TOTG
TREASURE;TRE
TYSNES SPAREBANK;TYSB
ULTIMOVACS;ULTI
VEIDEKKE;VEI
VISTIN PHARMA;VISTN
VOLUE;VOLUE
VOSS VEKSEL OGLAND;VVL
VOW;VOW
VOW GREEN METALS;VGM
VÅR ENERGI;VAR
WALLENIUS WILHELMS;WAWI
WASTE PLASTIC UPCY;WPU
WEBSTEP;WSTEP
WESTERN BULK CHART;WEST
WILH. WILHELMSEN A;WWI
WILH. WILHELMSEN B;WWIB
WILSON;WILS
XPLORA TECHNOLOGIE;XPLRA
XXL;XXL
YARA INTERNATIONAL;YAR
ZALARIS;ZAL
ZAPTEC;ZAP
ZENITH ENERGY;ZENA
ZWIPE;ZWIPE
