Open;High;Low;Close;Volume;Dividends;Stock Splits
53.86670684814453;53.86670684814453;53.86670684814453;53.86670684814453;35;0.0;0.0
50.78860855102539;50.78860855102539;49.76257605504508;50.78860855102539;2702;0.0;0.0
51.55814392089844;51.55814392089844;50.27560302734375;51.3016357421875;2855;0.0;0.0
51.30161677386827;51.81463294160695;51.173362731933594;51.173362731933594;9350;0.0;0.0
51.3016357421875;51.3016357421875;50.788619384765624;51.3016357421875;1957;0.0;0.0
50.78860830182406;51.17337048592879;50.275592056351094;51.04511642456055;3313;0.0;0.0
50.916839599609375;50.916839599609375;50.916839599609375;50.916839599609375;3;0.0;0.0
50.916839599609375;50.916839599609375;50.916839599609375;50.916839599609375;3;0.0;0.0
51.04509360363861;51.04509360363861;50.916839599609375;50.916839599609375;3500;0.0;0.0
50.40384636503278;50.78860855102539;50.40384636503278;50.78860855102539;2404;0.0;0.0
50.40384636503278;50.78860855102539;50.019084179040156;50.78860855102539;4502;0.0;0.0
50.66035842895508;50.66035842895508;50.66035842895508;50.66035842895508;50;0.0;0.0
48.73654747977475;50.5321044921875;48.73654747977475;50.5321044921875;600;0.0;0.0
49.762576676390665;50.532101057984335;49.249560421994886;50.1473388671875;1621;0.0;0.0
50.2755854981724;50.2755854981724;48.73653696251406;49.89082336425781;919;0.0;0.0
49.12129909642864;49.89082336425781;48.73653696251406;49.89082336425781;9543;0.0;0.0
50.403846740722656;50.403846740722656;49.12130611118773;50.403846740722656;5211;0.0;0.0
50.403846740722656;50.403846740722656;50.403846740722656;50.403846740722656;0;0.0;0.0
50.27558898925781;50.27558898925781;48.993048453817565;50.27558898925781;709;0.0;0.0
50.532101057984335;50.532101057984335;50.1473388671875;50.1473388671875;664;0.0;0.0
50.14734227524191;50.5321044921875;50.14734227524191;50.5321044921875;1002;0.0;0.0
50.53210588296255;50.78861403465271;49.24956512451172;49.24956512451172;19607;0.0;0.0
49.37781784135073;50.5321044921875;49.37781784135073;50.5321044921875;222;0.0;0.0
49.506068300048206;50.403846740722656;49.506068300048206;50.403846740722656;5200;0.0;0.0
49.50607191366593;50.5321044921875;49.24956376903553;50.5321044921875;7102;0.0;0.0
50.532100803676144;50.532100803676144;50.403846740722656;50.403846740722656;600;0.0;0.0
50.40385711669922;51.3016357421875;50.40385711669922;51.3016357421875;6;0.0;0.0
51.3016357421875;51.3016357421875;51.3016357421875;51.3016357421875;0;0.0;0.0
51.3016357421875;51.3016357421875;51.3016357421875;51.3016357421875;0;0.0;0.0
51.3016357421875;51.3016357421875;51.3016357421875;51.3016357421875;0;0.0;0.0
51.55812485773761;51.55812485773761;51.173362731933594;51.173362731933594;37;0.0;0.0
50.788619384765624;51.3016357421875;50.788619384765624;51.3016357421875;95;0.0;0.0
51.3016357421875;51.3016357421875;51.3016357421875;51.3016357421875;0;0.0;0.0
51.3016357421875;51.3016357421875;51.3016357421875;51.3016357421875;0;0.0;0.0
50.78860855102539;50.78860855102539;50.78860855102539;50.78860855102539;1900;0.0;0.0
50.27560302734375;51.3016357421875;50.27560302734375;51.3016357421875;2299;0.0;0.0
50.01908715091535;51.558135986328125;50.01908715091535;51.558135986328125;250;0.0;0.0
50.78861156862173;51.558135986328125;50.27559529015081;51.558135986328125;3402;0.0;0.0
50.53210342938627;51.558135986328125;49.76257901167988;51.558135986328125;255;0.0;0.0
51.17337377747493;51.558135986328125;51.17337377747493;51.558135986328125;255;0.0;0.0
51.81463623046875;51.81463623046875;51.81463623046875;51.81463623046875;2;0.0;0.0
49.890833081297615;51.558135986328125;49.890833081297615;51.558135986328125;808;0.0;0.0
50.53209252226024;51.173362731933594;49.506060186782875;51.173362731933594;3614;0.0;0.0
49.506071781206735;50.788612500927115;49.37781770923469;50.66035842895508;5013;0.0;0.0
50.5321044921875;50.5321044921875;50.5321044921875;50.5321044921875;1000;0.0;0.0
49.12130969672034;50.6603585645027;48.993055624405144;50.5321044921875;1120;0.0;0.0
50.660355639396094;50.660355639396094;49.24956092538759;49.63432312011719;3768;0.0;0.0
50.5321044921875;50.5321044921875;49.76258005829632;50.5321044921875;6216;0.0;0.0
50.66035842895508;50.66035842895508;49.24956363726265;50.66035842895508;3354;0.0;0.0
52.32765220303841;52.32765220303841;50.27558741076239;52.071144104003906;2012;0.0;0.0
51.814652099609376;51.814652099609376;50.53211120605469;51.3016357421875;2603;0.0;0.0
52.07116027832031;52.07116027832031;50.27560302734375;51.3016357421875;180;0.0;0.0
51.3016357421875;51.3016357421875;51.3016357421875;51.3016357421875;4;0.0;0.0
50.91687347412109;51.3016357421875;50.91687347412109;51.3016357421875;510;0.0;0.0
52.32766845703125;52.32766845703125;50.27560302734375;51.3016357421875;1803;0.0;0.0
52.327659606933594;52.327659606933594;52.327659606933594;52.327659606933594;4;0.0;0.0
52.32765243077042;52.32765243077042;51.81463623046875;51.81463623046875;6;0.0;0.0
51.30162003016708;51.81463623046875;51.30162003016708;51.81463623046875;7324;0.0;0.0
52.32765220303841;52.32765220303841;52.071144104003906;52.071144104003906;203;0.0;0.0
52.071144104003906;52.071144104003906;52.071144104003906;52.071144104003906;103;0.0;0.0
52.327659606933594;52.327659606933594;52.327659606933594;52.327659606933594;3;0.0;0.0
52.32766845703125;52.32766845703125;51.3016357421875;51.3016357421875;53;0.0;0.0
52.327659606933594;52.327659606933594;51.81464333627738;52.327659606933594;425;0.0;0.0
51.30162285369577;52.84067153930664;51.30162285369577;52.84067153930664;609;0.0;0.0
51.30162706562117;52.327659606933594;51.30162706562117;52.327659606933594;3816;0.0;0.0
