SectorNames
Al_stocks_oslo_bors
AlternativeElectricity
AlternativeEnergy
Banks
BasicMaterials
ConsumerDiscretionary
ConsumerStaples
Energy
FinancialServices
Financials
HealthCare
Industrials
Insurance
MedicalEquipmentAndServices
OilGasandCoal
PharmaceuticalsAndBiotechnology
RealEstate
SoftwareAndComputerServices
Technology
TechnologyHardwareAndEquipment
Telecommunications
